,Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Apples,Fruits,52,0.2,2.4,0.26,13.81,10.39
Apricots,Fruits,48,0.4,2.0,1.4,11.12,9.24
Avocados,Fruits,160,15.0,6.7,2.0,8.53,0.66
Tomatoes,Fruits,18,0.2,1.2,0.88,3.89,2.63
Bananas,Fruits,89,0.3,2.6,1.09,22.84,12.23
Blueberries,Fruits,57,0.3,2.4,0.74,14.49,9.96
Blackberries,Fruits,43,0.5,5.3,1.39,9.61,4.88
Cherries,Fruits,63,0.2,2.1,1.06,16.01,12.82
Coconut,Fruits,354,33.0,9.0,3.33,15.23,6.23
Figs,Fruits,74,0.3,2.9,0.75,19.18,16.26
Grapes,Fruits,57,0.5,3.9,0.81,13.93,0.0
Plums,Fruits,46,0.3,1.4,0.7,11.42,9.92
Kiwi,Fruits,61,0.5,3.0,1.14,14.66,8.99
Lemons,Fruits,29,0.3,2.8,1.1,9.32,2.5
Limes,Fruits,30,0.2,2.8,0.7,10.54,1.69
Mango,Fruits,60,0.4,1.6,0.82,14.98,13.66
Watermelon,Fruits,30,0.2,0.4,0.61,7.55,6.2
Orange,Fruits,49,0.2,2.2,0.91,12.54,8.5
Papaya,Fruits,43,0.3,1.7,0.47,10.82,7.82
Peach,Fruits,39,0.3,1.5,0.91,9.54,8.39
Pear,Fruits,63,0.2,3.1,0.39,15.01,9.69
Pineapple,Fruits,50,0.1,1.4,0.54,13.12,9.85
Strawberry,Fruits,32,0.3,2.0,0.67,7.68,4.89
Tangerine,Fruits,53,0.3,1.8,0.81,13.34,10.58
Melon,Fruits,34,0.2,0.9,0.84,8.16,7.86
Nectarine,Fruits,44,0.3,1.7,1.06,10.55,7.89
