,Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Amaranth,Grain,102,1.6,2.1,3.8,18.69,0.0
Barley,Grain,352,1.2,15.6,9.91,77.72,0.8
Bulgur,Grain,83,0.2,4.5,3.08,18.58,0.1
Wheat,Grain,132,0.8,4.3,5.71,27.6,3.07
Oats,Grain,389,6.9,10.6,16.89,66.27,0.0
Quinoa,Grain,120,1.9,2.8,4.4,21.3,0.87
Wild Rice,Grain,101,0.3,1.8,3.99,21.34,0.73
White Rice,Grain,130,0.2,0.3,2.38,28.59,0.0
Brown Rice,Grain,112,0.8,1.8,2.32,23.51,0.0
Buckwheat,Grain,343,3.4,10.0,13.25,71.5,0.0
White Bread,Grain,238,2.2,9.2,10.66,43.91,5.0
Multi-grain Bread,Grain,265,4.2,7.4,13.36,43.34,6.39
Pasta,Grain,149,1.7,3.9,5.99,30.07,0.75
Potatoes,Grain,77,0.1,2.1,2.05,17.49,0.82
Corn Flakes,Grain,357,0.9,2.7,5.9,88.01,7.84
