,Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Avocado Oil,Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Canola Oil,Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Coconut Oil,Oils and Fat,892,99.0,0.0,0.0,0.0,0.0
Olive Oil,Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Soybean Oil,Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Sunflower Oil,Oils and Fat,884,100.0,0.0,0.0,0.0,0.0
Vegetable Oil,Oils and Fat,862,100.0,0.0,0.0,0.0,0.0
Butter with Salt,Oils and Fat,717,81.0,0.0,0.85,0.06,0.06
Margarine,Oils and Fat,424,48.0,0.0,0.2,0.86,0.0
Butter without Salt,Oils and Fat,717,81.0,0.0,0.85,0.06,0.06
